,activation,layer_size,hidden_layer_number,learning_rate,epochs,test_accuracy,train_loss,train_loss_std,momentum
119,Sigmoid,64,3,0.100,20,0.115,0.233,0.704,0.000
120,Sigmoid,32,3,0.100,20,0.115,0.232,0.697,0.000
121,Sigmoid,32,3,0.400,20,0.115,0.236,0.715,0.000
122,Sigmoid,32,3,0.300,20,0.115,0.235,0.710,0.000
123,Sigmoid,128,3,0.100,20,0.115,0.236,0.715,0.000
124,Sigmoid,128,3,0.300,20,0.115,1.122,3.623,0.000
125,Sigmoid,128,3,0.400,20,0.115,1.790,5.716,0.000
126,Sigmoid,64,3,0.400,20,0.115,0.252,0.777,0.000
127,Sigmoid,64,3,0.300,20,0.115,0.240,0.730,0.000
128,ReLU,32,2,0.200,20,0.115,0.240,0.747,0.000
129,ReLU,64,2,0.300,20,0.101,,,0.000
130,ReLU,64,2,0.400,20,0.101,,,0.000
131,ReLU,64,2,0.200,20,0.101,28.987,99.073,0.000
132,ReLU,64,2,0.500,20,0.101,,,0.000
133,ReLU,32,2,0.400,20,0.101,,,0.000
134,ReLU,32,2,0.500,20,0.101,,,0.000
135,ReLU,128,2,0.400,20,0.101,,,0.000
136,ReLU,128,2,0.200,20,0.101,,,0.000
137,ReLU,128,2,0.500,20,0.099,36.358,118.086,0.000
138,ReLU,128,2,0.300,20,0.099,36.479,118.942,0.000
139,Sigmoid,256,2,0.400,20,0.097,2.402,7.782,0.000
140,Sigmoid,256,2,0.500,20,0.094,2.593,8.380,0.000
